"filename", "language", "Dart", "comment", "blank", "total"
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\screens\showUserScreen.dart", "Dart", 6, 0, 0, 6
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\drawerWidget.dart", "Dart", 0, 7, 0, 7
"d:\Workstation\vscode_projects\flutter\chatapp_release\lib\widgets\usersSearch.dart", "Dart", 11, 0, 0, 11
"Total", "-", 17, 7, 0, 24
